"screenName","id","time","isRetweet","isPinned","isReplyTo","text","hashtags__hashtag","hashtags__indices__001","hashtags__indices__002","userMentions__screenName","userMentions__indices__001","userMentions__indices__002","urls__url","urls__indices__001","urls__indices__002","images__001","images__002","images__003","images__004","replyCount","retweetCount","favoriteCount","quote__screenName","quote__id","quote__text"
"MarsWxReport","1098086321392943106","2019-02-20T05:05:55.000Z","False","False","False","InSight sol 80 (2019-02-16), high -16/3F, low -95/-139F, pressure at 7.23hPa, winds from the WNW at 10.7 mph gusting to 32.3 mph","","","","","","","","","","","","","","0","4","6","","",""
"MarsWxReport","1098086010104307712","2019-02-20T05:04:40.000Z","False","False","False","InSight sol 79 (2019-02-15), high -13/8F, low -95/-138F, pressure at 7.21hPa, winds from the WNW at 9.9 mph gusting to 26.2 mph","","","","","","","","","","","","","","0","8","14","","",""
"MarsWxReport","1098085747641511936","2019-02-20T05:03:38.000Z","False","False","False","InSight sol 78 (2019-02-14), high -15/4F, low -95/-138F, pressure at 7.22hPa, winds from the WNW at 10.5 mph gusting to 36.4 mph","","","","","","","","","","","","","","1","5","4","","",""
"MarsWxReport","1098085304727162881","2019-02-20T05:01:52.000Z","False","False","False","InSight sol 77 (2019-02-13), high -13C/10F, low -94C/-136F, pressure at 7.21 hPa, winds from the WNW at 9 mph gusting to 26.6 mph","","","","","","","","","","","","","","0","3","7","","",""
"MarsWxReport","1096818623853854721","2019-02-16T17:08:32.000Z","False","False","False","Sol 2319 (2019-02-13), high -17C/1F, low -72C/-97F, pressure at 8.12 hPa, daylight 06:46-18:52","","","","","","","","","","https://pbs.twimg.com/media/DziuuaAXgAAFoU_.jpg","","","","0","4","16","","",""
"MarsWxReport","1096818593155682307","2019-02-16T17:08:25.000Z","False","False","False","Sol 2318 (2019-02-12), high -17C/1F, low -73C/-99F, pressure at 8.11 hPa, daylight 06:46-18:52","","","","","","","","","","","","","","0","4","13","","",""
"MarsWxReport","1096006577323237376","2019-02-14T11:21:45.000Z","False","False","False","Sol 2317 (2019-02-11), high -16C/3F, low -73C/-99F, pressure at 8.12 hPa, daylight 06:46-18:52","","","","","","","","","","https://pbs.twimg.com/media/DzXMLFrWsAAhA63.jpg","","","","0","5","16","","",""
"MarsWxReport","1096006558960574464","2019-02-14T11:21:41.000Z","False","False","False","Sol 2316 (2019-02-10), high -14C/6F, low -72C/-97F, pressure at 8.14 hPa, daylight 06:47-18:52","","","","","","","","","","","","","","0","3","7","","",""
"MarsWxReport","1095781418389684224","2019-02-13T20:27:03.000Z","False","False","False","While the Sun has set on #Opportunity, the MER program lives on in mountains of data scientists will be making new discoveries from for decades.\n\nWe asked 90 Sols and 1km, she gave us 5110 Sols and 45km. So long Oppy, and thanks for all the data. \n\nMER-B EOM","Opportunity","25","37","","","","","","","","","","","1","32","63","","",""
"MarsWxReport","1095484341386428416","2019-02-13T00:46:34.000Z","False","False","False","Join NASA at 2pm ET tomorrow for results of attempts to contact Oppy.\n\nhttps://www.nasa.gov/press-release/nasa-to-share-results-of-effort-to-recover-mars-opportunity-rover/ …","","","","","","","https://www.nasa.gov/press-release/nasa-to-share-results-of-effort-to-recover-mars-opportunity-rover/","71","172","","","","","0","1","3","PlanetaryKeri","1095469660017840128","Tonight is the final planned attempt to contact Opportunity. I had the extreme privilege to be the final Tactical Uplink Lead yesterday. My signature is in pink on the command approval form, as usual. Godspeed, Opportunity. #LoveYouOppy #OppyPhoneHome #WakeUpOppy pic.twitter.com/xfcojmmzdI"
"","","","","","","","","","","","","","https://twitter.com/PlanetaryKeri/status/1095469660017840128","174","234","","","","","","","","","",""
"MarsWxReport","1095310807515254784","2019-02-12T13:17:01.000Z","False","False","False","Sol 2315 (2019-02-09), high -17C/1F, low -71C/-95F, pressure at 8.13 hPa, daylight 06:47-18:52","","","","","","","","","","https://pbs.twimg.com/media/DzNTX5iXQAIMGGK.png","","","","0","10","21","","",""
"MarsWxReport","1095310789714550784","2019-02-12T13:16:56.000Z","False","False","False","Sol 2314 (2019-02-08), high -16C/3F, low -71C/-95F, pressure at 8.14 hPa, daylight 06:47-18:53","","","","","","","","","","","","","","0","5","10","","",""
"MarsWxReport","1095310788758331395","2019-02-12T13:16:56.000Z","False","False","False","Sol 2313 (2019-02-07), high -14C/6F, low -71C/-95F, pressure at 8.14 hPa, daylight 06:47-18:53","","","","","","","","","","","","","","0","3","7","","",""
"MarsWxReport","1094789311835312128","2019-02-11T02:44:46.000Z","False","False","False","2019-01-28 through 02-03 via MRO/Marci \n• dust storms north of Alba Patera\n• lee wave clouds near Tempe Terra & Deuteronilus Mensae\n• H2O ice clouds over Arsia Mons \n• dust haze hides Valles Marineris floor\n• seasonally high dust over Opportunity, Curioisty, & Insight","","","","","","","","","","","","","","1","12","25","","",""
